"ParasiteReportedName","ParasiteCorrectedName","HasBinomialName","NameObservations","FLAG","NameID","NameCitation","ParType","ParPhylum","ParClass","ParOrder","ParFamily","StrainorSubsps"
"Enterococcus hirae","Enterococcus hirae","yes","valid name in NCBI","","NCBI 1354","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",""
"Enterococcus mundtii","Enterococcus mundtii","yes","valid name in NCBI","","NCBI 53346","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",""
"Enterococcus spp.","Enterococcus sp.","no","valid name in NCBI","","NCBI 1350","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",""
"Enterococcus sp.","Enterococcus sp.","no","valid name in NCBI","","NCBI 1350","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",""
"Enterococcus","Enterococcus sp.","no","valid name in NCBI","","NCBI 1350","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",""
"Group D Enterococcus","Enterococcus sp.","yes","members of genus were previously identified as ""group D Streptococcus""","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",""
"Streptococcus group D","Enterococcus sp.","yes","members of genus were previously identified as ""group D Streptococcus""","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",""
"Echovirus 7","Enterovirus Enterovirus B","yes","valid name in ICTV v.2015, I tracked the name to the current name","yes","","","Virus","RNA virus","ss+","Picornavirales","Picornaviridae",""
"Coxsackievirus B2","Enterovirus Enterovirus B","yes","valid name in ICTV v.2015, I tracked the name to the current name","yes","","","Virus","RNA virus","ss+","Picornavirales","Picornaviridae",""
"Cocksackie B virus","Enterovirus Enterovirus B","yes","valid name in ICTV v.2015, I tracked the name to the current name","","","","Virus","RNA virus","ss+","Picornavirales","Picornaviridae",""
"coxackie B-4","Enterovirus Enterovirus B","yes","valid name in ICTV v.2015; human coxsackievirus merged to Enterovirus","","","","Virus","RNA virus","ss+","Picornavirales","Picornaviridae",""
"poliomyelitis","Enterovirus Enterovirus C","yes","valid name in ICTV v.2015, assuming is the poliovirus 1","yes","","","Virus","RNA virus","ss+","Picornavirales","Picornaviridae",""
"Enterovirus poliovirus 2","Enterovirus Enterovirus C","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Picornavirales","Picornaviridae",""
"Echovirus","Enterovirus sp.","no","echovirus split in Enterovirus A,B,D","","","","Virus","RNA virus","ss-","Mononegavirales","Paramyxoviridae",""
"Entodinium bicornutum","Entodinium bicornutum","yes","valid in papers","","Belanche, A., De la Fuente, G., Moorby, J. M., & Newbold, C. J. ","Belanche, A., De la Fuente, G., Moorby, J. M., & Newbold, C. J. (2012). Bacterial protein degradation by different rumen protozoal groups.†Journal of animal science,†90(12), 4495-4504.","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"Entodinium bursa","Entodinium bursa","yes","valid name in NCBI","","NCBI 358014","","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"Entodiunium caudatum","Entodinium caudatum","yes","valid name in NCBI","","NCBI 47911","","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"Entodinium dubardi","Entodinium dubardi","yes","valid name in NCBI","","NCBI 358013","","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"Entodinium furca","Entodinium furca","yes","valid name in NCBI","","NCBI 358010","","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"Entodinium minimum","Entodinium minimum","yes","valid in papers","","Booyse, D., & Dehority, B. A. ","Booyse, D., & Dehority, B. A. (2011). Rumen protozoa in South African sheep with a summary of the worldwide distribution of sheep protozoa.Onderstepoort Journal of Veterinary Research,†78(1), 1-7.","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"Entodinium lobospinosum","Entodinium rectangulatum","yes","invalid name","","Appears to be a morphotype of both E. rectangulatum and E. simulans","G‹RELL?, G. (2014). Rumen ciliate fauna (Ciliophora, Protista) of Turkish domestic goats living in ?zmir, Turkey.†Turkish Journal of Zoology,†38(2), 136-143.","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"Rhinophycomycosis entomophthorae","Entomophthora coronata","yes","http://www.ncbi.nlm.nih.gov/pubmed/718217","","","","Fungus","Entomophthoromycota","Entomophthorales","Entomophthorales","Entomophthoraceae",""
"Entomophthora coronata","Entomophthora coronata","yes","http://www.ncbi.nlm.nih.gov/pubmed/718217","","","","Fungus","Entomophthoromycota","Entomophthorales","Entomophthorales","Entomophthoraceae",""
